4c1000: GL-equivalent to harness Hanner mask 80002000a via T=[5/7,2/7,1/7,-3/7; 3/7,4/7,-5/7,1/7; 5/7,2/7,1/7,4/7; -1/7,-6/7,-3/7,2/7]
18240: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,0,-1; 1,1,0,0; 1,0,2,1]
18402: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,0,-2,-2; 1,0,2,1; 1,2,-2,-1]
18404: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-1,0,-1; 1,1/2,1,1/2; 1,3/2,-1,-1/2]
18410: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-1,0,-1; 1,1,0,0; 1,1/2,1,1/2]
18440: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,0,-2,-2; 1,1,0,0; 1,0,2,1]
18801: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2,2,0; 0,-1,2,1; 2,3,-2,-1]
18802: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,2,-2,-2; 0,-1,2,1; 2,3,-2,-1]
18804: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,-1; 1/2,0,1,1/2; 3/2,2,-1,-1/2]
18820: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,-1; 1,1,0,0; 1/2,0,1,1/2]
18900: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,-1; 1,1,0,0; 0,-1,2,1]
18a00: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,2,-2,-2; 1,1,0,0; -1,-3,4,2]
18c00: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2,2,0; 1,1,0,0; -1,-3,4,2]
19001: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2,2,0; -1,-2,2,1; 3,4,-2,-1]
19002: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,4,-2,-2; -1,-2,2,1; 3,4,-2,-1]
19004: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,0,-1; 0,-1/2,1,1/2; 2,5/2,-1,-1/2]
19040: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,0,-1; 1,1,0,0; 0,-1/2,1,1/2]
19080: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,-1/2,1,-1/2; 1,1,0,0; 0,-1/2,1,1/2]
19200: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,0,-1; 1,1,0,0; -1,-2,2,1]
19400: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2,2,0; 1,1,0,0; -1,-2,2,1]
19800: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2,2,0; 1,1,0,0; -3,-5,4,2]
1a010: GL-equivalent to harness Hanner mask 80002000a via T=[3,3/2,1,1/2; 1,1/2,1,-1/2; -1,-1/2,-1,-1/2; -3,-5/2,-1,-1/2]
1a020: GL-equivalent to harness Hanner mask 80002000a via T=[5/2,1,1,1/2; 3/2,1,1,-1/2; -1/2,0,-1,-1/2; -5/2,-2,-1,-1/2]
1a040: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1,1/2; 2,3/2,1,-1/2; 0,1/2,-1,-1/2; -2,-3/2,-1,-1/2]
1a400: GL-equivalent to harness Hanner mask 80002000a via T=[1,-1/2,1,1/2; -1,-3/2,1,-1/2; 1,3/2,-1,-1/2; -1,-1/2,-1,-1/2]
1a800: GL-equivalent to harness Hanner mask 80002000a via T=[1/2,-1,1,1/2; -1/2,-1,1,-1/2; 3/2,2,-1,-1/2; -1/2,0,-1,-1/2]
1b000: GL-equivalent to harness Hanner mask 80002000a via T=[0,-3/2,1,1/2; 0,-1/2,1,-1/2; 2,5/2,-1,-1/2; 0,1/2,-1,-1/2]
1c010: GL-equivalent to harness Hanner mask 80002000a via T=[5,3,2,1; -1,-1,0,-1; -3,-2,-2,-1; -5,-4,-2,-1]
1c020: GL-equivalent to harness Hanner mask 80002000a via T=[4,2,2,1; 0,0,0,-1; -2,-1,-2,-1; -4,-3,-2,-1]
1c040: GL-equivalent to harness Hanner mask 80002000a via T=[3,1,2,1; 1,1,0,-1; -1,0,-2,-1; -3,-2,-2,-1]
1c800: GL-equivalent to harness Hanner mask 80002000a via T=[0,-2,2,1; 0,0,0,-1; 2,3,-2,-1; 0,1,-2,-1]
1d000: GL-equivalent to harness Hanner mask 80002000a via T=[-1,-3,2,1; 1,1,0,-1; 3,4,-2,-1; 1,2,-2,-1]
20013: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 3,3,2,1; -1,-1,0,-1]
20015: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,2,1,1; 0,0,1,-1]
20019: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,1,0,1; 1,1,2,-1]
2001a: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,1,1,0; 1,1,0,1]
20023: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,2,2,1; 0,0,0,-1]
20025: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,1,1,1; 1,1,1,-1]
20026: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,1,1,0; 1,1,1,2]
2002a: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,1,1,0; 0,0,0,1]
20032: GL-equivalent to harness Hanner mask 80002000a via T=[3,2,1,1; -1,-2,-1,-1; 0,0,0,-1; -2,-2,-2,-1]
20038: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,-1,1; 1,0,1,-1; 2,2,2,-1; 0,0,0,-1]
20052: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1/2,1/2; 0,-1,-1/2,-1/2; 1,1,1/2,-1/2; -1,-1,-3/2,-1/2]
20054: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,0,1/2; 1/2,-1/2,0,-1/2; 3/2,3/2,1,-1/2; -1/2,-1/2,-1,-1/2]
200a1: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 0,-1,-1,0; 1,1,0,1; -1,-1,-2,-1]
200a8: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,1/2,-1/2; 1/2,-1/2,-1/2,1/2; 1,1,0,1; 0,0,-1,0]
200b0: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 0,-1,-1,0; 0,0,-1,0; 2,2,1,2]
200c2: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,-1,-1; 1,0,1,1; 2,2,3,2; 0,0,-1,0]
200c4: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,0,-1/2; 1/2,-1/2,0,1/2; 1,1,1,1; 0,0,-1,0]
200d0: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 0,-1,-1,0; 0,0,-1,0; 1,1,1,1]
200e0: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 0,-1,-1,0; 0,0,-1,0; 2,2,3,2]
20103: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,0,2,1; 0,0,0,-1]
20105: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,0,1,1; 0,0,1,-1]
2010a: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,0,1,0; 0,0,0,1]
20112: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1/2,1/2; 0,-1,-1/2,-1/2; 0,0,0,-1; 0,0,-1,0]
20121: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 0,-1,-1,0; 0,0,-1,1; 0,0,-1,-1]
2013: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 6,3,2,1; -2,-1,0,-1]
2015: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 4,2,1,1; 0,0,1,-1]
20150: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 0,-1,-1,0; 0,0,-1,0; 0,0,0,1]
2019: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,1,0,1; 2,1,2,-1]
201a: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,1,1,0; 2,1,0,1]
201a0: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,1; 0,-1,-1,-1; 0,0,-1,-1; 0,0,1,-1]
2023: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 5,2,2,1; -1,0,0,-1]
2025: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 3,1,1,1; 1,1,1,-1]
2026: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,1,1,0; 4,1,1,2]
20282: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,1/2,1/2; 1/2,-1/2,-1/2,-1/2; 1/2,1/2,1/2,-1/2; 1/2,1/2,-3/2,-1/2]
20284: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,0,1/2; 1/2,-1/2,0,-1/2; 1/2,1/2,1,-1/2; 1/2,1/2,-1,-1/2]
2029: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,0,0,1; 3,2,2,-1]
202a: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,1,1,0; 1,0,0,1]
202a0: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,1/2,1/2; 1/2,-1/2,-1/2,-1/2; 1/2,1/2,-1/2,-1/2; 1/2,1/2,3/2,-1/2]
202c: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,1,1,0; 0,-1,-1,2]
2032: GL-equivalent to harness Hanner mask 80002000a via T=[5,2,1,1; -3,-2,-1,-1; -1,0,0,-1; -5,-2,-2,-1]
2034: GL-equivalent to harness Hanner mask 80002000a via T=[3,1,0,1; -1,-1,0,-1; 1,1,1,-1; -3,-1,-1,-1]
2038: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,-1,1; 1,0,1,-1; 3,2,2,-1; -1,0,0,-1]
20441: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,1/2,0; 1/2,-1/2,-1/2,0; 1/2,1/2,1/2,1; 1/2,1/2,-3/2,-1]
20448: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,1/4,-1/4; 1/2,-1/2,-1/4,1/4; 1/2,1/2,1/4,3/4; 1/2,1/2,-3/4,-1/4]
2045: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,0,1,1; 2,2,1,-1]
20450: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,1/2,0; 1/2,-1/2,-1/2,0; 1/2,1/2,-1/2,0; 1/2,1/2,1/2,1]
2046: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,1,1,0; 2,-1,1,2]
20460: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,1/2,0; 1/2,-1/2,-1/2,0; 1/2,1/2,-1/2,0; 1/2,1/2,3/2,2]
2049: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,-1,0,1; 4,3,2,-1]
204a: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,1,1,0; 0,-1,0,1]
204c: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,1,1,0; -2,-3,-1,2]
2052: GL-equivalent to harness Hanner mask 80002000a via T=[3,1,1/2,1/2; -1,-1,-1/2,-1/2; 1,1,1/2,-1/2; -3,-1,-3/2,-1/2]
2054: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,0,1/2; 0,-1/2,0,-1/2; 2,3/2,1,-1/2; -2,-1/2,-1,-1/2]
2058: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,-1/2,1/2; 1,0,1/2,-1/2; 3,2,3/2,-1/2; -1,0,-1/2,-1/2]
20610: GL-equivalent to harness Hanner mask 80002000a via T=[5/4,1/4,1/2,-1/4; 3/4,-1/4,-1/2,1/4; 3/4,3/4,-1/2,1/4; 1/4,1/4,1/2,3/4]
2062: GL-equivalent to harness Hanner mask 80002000a via T=[4,1,1,1; -2,-1,-1,-1; 0,1,0,-1; -4,-1,-2,-1]
2068: GL-equivalent to harness Hanner mask 80002000a via T=[0,-1,-1,1; 2,1,1,-1; 4,3,2,-1; 0,1,0,-1]
20a8: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,1/2,-1/2; 1/2,-1/2,-1/2,1/2; 2,1,0,1; -1,0,-1,0]
20c4: GL-equivalent to harness Hanner mask 80002000a via T=[1,1/2,0,-1/2; 1,-1/2,0,1/2; 3,1,1,1; -1,0,-1,0]
2105: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,0,1,1; 0,0,1,-1]
2109: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,0,0,1; 1,0,2,-1]
210a: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,0,1,0; 1,0,0,1]
2128: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,-1; 0,-1,-1,1; 1,0,-1,2; -1,0,-1,0]
2148: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1/2,-1/2; 0,-1,-1/2,1/2; 1,0,0,1; -1,0,-1,0]
2200202000: GL-equivalent to harness Hanner mask 80002000a via T=[1/2,1/2,0,0; 0,0,1/2,-1/2; 1/2,-1/2,0,0; 0,0,1/2,1/2]
22012: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,1,1; 1,1,1/2,-1/2; 1,1,-1/2,1/2]
22041: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; -1,-1,-1,1; 3,3,1,-1]
22042: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,0,1,1; 2,2,1/2,-1/2; 0,0,-1/2,1/2]
22050: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 1,1,0,0; -1,-1,-1,1]
2209: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,-1,0,1; 2,1,2,-1]
220a: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,0,1,0; 0,-1,0,1]
220a0: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 2,1,1,1; 1,1,0,0; 0,0,1,-1]
220c: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,0,1,0; -1,-2,-1,2]
22102: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,0,1,1; 1,1,1/2,-1/2; 1,1,-1/2,1/2]
2218: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,-1,1; 1,0,1,-1; 3,2,3,-2; -1,0,-1,0]
22202: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,-1,1,1; 3/2,3/2,1/2,-1/2; 1/2,1/2,-1/2,1/2]
22204: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2,0,2; 2,2,1,-1; 0,0,-1,1]
22240: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2,0,2; 1,1,0,0; 3,3,2,-2]
22440: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,0,1,1; 1,1,0,0; 0,0,1/2,-1/2]
22a00: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,-1,1,1; 1,1,0,0; 0,0,1,-1]
23002: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2,1,1; 1,1,1/2,-1/2; 1,1,-1/2,1/2]
23040: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2,0,2; 1,1,0,0; 1,1,1,-1]
24011: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 2,2,0,1; 0,0,0,-1]
24018: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,0,2,-2; 2,2,0,1; 0,0,0,-1]
24021: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 1,1,0,1; 1,1,0,-1]
24050: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 1,1,0,0; 0,0,0,1]
24088: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2,2,-2; 2,2,0,1; 0,0,0,-1]
240c0: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 2,1,2,1; 1,1,0,0; 0,0,0,-1]
24402: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,0,2,2; 0,0,0,-1; 2,2,0,1]
24408: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -3,-4,2,-2; 2,2,0,1; 0,0,0,-1]
24440: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,0,2,2; 1,1,0,0; 0,0,0,-1]
2448: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,1/4,-1/4; 1/2,-1/2,-1/4,1/4; 3/2,1/2,1/4,3/4; -1/2,1/2,-3/4,-1/4]
2450: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 0,1/2,-1/2,0; 2,1/2,1/2,1]
24801: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2,2,0; 1,1,0,1; 1,1,0,-1]
25400: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2,2,0; 1,1,0,0; 0,0,0,1]
2a010: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1/2,1/2; 2,1,3/2,-1/2; 0,0,-1/2,-1/2; -2,-2,-1/2,-1/2]
2a020: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,1/2,1/2; 5/2,3/2,3/2,-1/2; 1/2,1/2,-1/2,-1/2; -3/2,-3/2,-1/2,-1/2]
2a08: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,1/2,-1/2; 1/2,-1/2,-1/2,1/2; 1,0,0,1; 0,1,-1,0]
2a800: GL-equivalent to harness Hanner mask 80002000a via T=[1/2,-1/2,1/2,1/2; -1/2,-3/2,3/2,-1/2; 3/2,3/2,-1/2,-1/2; -1/2,-1/2,-1/2,-1/2]
3003: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,-3,2,1; 0,1,0,-1]
3005: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,-2,1,1; 0,0,1,-1]
3009: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,-1,0,1; 0,-1,2,-1]
300a: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,-1,1,0; 0,-1,0,1]
3011: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 0,1/2,-3/2,1; 0,1/2,1/2,-1]
3012: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/4,1/4; 0,-1/2,-1/4,-1/4; 0,1/2,1/4,-3/4; 0,1/2,-3/4,1/4]
3021: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 0,0,-1,1; 0,1,0,-1]
3028: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,-1; 0,-1,-1,1; 0,-1,-2,3; 0,1,0,-1]
3030: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 0,1/2,-1/2,0; 0,-1/2,-3/2,2]
3048: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1/2,-1/2; 0,-1,-1/2,1/2; 0,-1,-1/2,3/2; 0,1,-1/2,-1/2]
3050: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 0,1/2,-1/2,0; 0,-1/2,-1/2,1]
